	company_name	industry_name	industryID	first_date	first_employees_on_platform	first_followers_count	last_date	last_employees_on_platform	last_followers_count	slope1	r_value1	slope2	r_value2	z-score1	z-score2	industry_total
1254	First Financial Bank NA	Banking	5	2016-11-20 00:00:00	330	1093	2018-07-17 00:00:00	391	1232	6.185997539029722	0.9908400645066922	2.3576418391776054e-06	0.024444714909673634	-0.2667359584525512	-0.07137943543174131	327
1270	Mid Penn Bank	Banking	5	2016-11-24 00:00:00	164	602	2018-07-17 00:00:00	218	829	11.127575169232664	0.9973055183301742	3.646968702494307e-06	0.020145321605069735	-0.26306199292546556	-0.07111891967121564	327
1315	Comerica Bank	Banking	5	2015-09-19 00:00:00	7776	17638	2018-07-17 00:00:00	8934	24945	200.1174783629279	0.9994008022716084	-3.387392235529751e-06	-0.1332693689781087	-0.1225517265164012	-0.07254025195065587	327
1329	Hanmi Bank	Banking	5	2017-01-26 00:00:00	256	1659	2018-07-17 00:00:00	359	1970	15.945170095263894	0.994605587446267	8.681584097124045e-06	0.07935059814298906	-0.2594802060941668	-0.07010164725116207	327
1338	Colonial Bank	Banking	5	2017-11-01 00:00:00	643	1533	2018-02-17 00:00:00	644	1535	0.06892299943290896	0.28666807473002903	-2.9489276572573723e-05	-0.29054177225856764	-0.27128388275262316	-0.07781428481438282	327
1342	Capital City Bank Group, Inc.	Banking	5	2016-11-19 00:00:00	543	1484	2018-07-17 00:00:00	577	1774	15.899943591455873	0.9961134983762534	-2.352859081436137e-06	-0.023283143053025878	-0.2595138311079449	-0.07233121869532261	327
1368	Wisconsin Bank &amp; Trust	Banking	5	2016-11-21 00:00:00	118	478	2017-02-01 00:00:00	120	504	9.26777297088018	0.9003362681803685	0.018188325884548256	0.8096819001704489	-0.26444471918725343	3.603197960293731	327
1369	BMO Harris Bank	Banking	5	2017-06-29 00:00:00	10506	35593	2018-07-17 00:00:00	11145	40113	351.970073864423	0.9974120707895107	7.356021348537505e-06	0.15211114492878794	-0.009652316080940606	-0.07036948467656419	327
1371	PlainsCapital Bank	Banking	5	2016-11-23 00:00:00	751	4396	2018-07-17 00:00:00	850	5239	40.71217067064425	0.991600267093593	1.0492139498171145e-05	0.16920633704882887	-0.24106642953683674	-0.06973581432648052	327
1375	Republic Bank - Philadelphia & South Jersey	Banking	5	2016-11-23 00:00:00	210	807	2018-07-17 00:00:00	286	1338	26.67452466990547	0.9914052810919286	1.472171636102441e-06	0.006872924400882879	-0.25150314253572326	-0.07155834967756998	327
1378	Farmington Bank	Banking	5	2016-11-20 00:00:00	246	1008	2018-07-17 00:00:00	285	1192	8.351577381824601	0.9899898074315705	1.0079783387124972e-05	0.08007130968815106	-0.26512589254162605	-0.06981913320312305	327
1380	Guaranty Bank and Trust Company	Banking	5	2016-12-31 00:00:00	306	956	2018-07-17 00:00:00	357	1134	8.847216047471823	0.9932229823781443	-8.989182042965143e-06	-0.06748009432568063	-0.2647573949670157	-0.07367212515791609	327
1400	The Bank of Greene County	Banking	5	2017-01-23 00:00:00	72	1687	2018-07-17 00:00:00	89	1729	2.285815375914872	0.9878536110286658	-2.2801406241669447e-06	-0.04229210656465151	-0.26963566698471275	-0.07231652552112548	327
1403	ICICI Bank	Banking	5	2016-12-16 00:00:00	54794	230442	2018-07-17 00:00:00	78969	400072	8848.64814122514	0.98812572672796	2.4412548369245916e-05	0.23044079569397827	6.3074602844441445	-0.06692311724627886	327
1419	SB One Bank	Banking	5	2018-04-24 00:00:00	98	404	2018-07-17 00:00:00	86	467	20.500807822531666	0.9847827070857994	-0.0005427488655692771	-0.16933804020062287	-0.25609317927472064	-0.1815212779585478	327
1428	Investors Bank	Banking	5	2016-09-12 00:00:00	1187	3893	2018-07-17 00:00:00	1561	5826	88.23587434341687	0.9989850246790035	-3.3711245336752413e-06	-0.04397388570620909	-0.205733492956818	-0.07253696496979693	327
1433	Sandy Spring Bank	Banking	5	2017-02-13 00:00:00	580	1816	2018-07-17 00:00:00	720	2322	28.18933610321792	0.9939929704337145	1.0261485972704948e-05	0.07985504658298716	-0.2503769101050093	-0.0697824191714693	327
1453	Bank of Albuquerque	Banking	5	2016-09-06 00:00:00	160	748	2018-07-17 00:00:00	181	826	3.383480989256528	0.9860006081179831	-3.489222171997136e-06	-0.0373372283983904	-0.2688195742456174	-0.07256082726332316	327
1459	Bank of the Sierra	Banking	5	2017-04-11 00:00:00	226	820	2018-07-17 00:00:00	259	980	10.464679082273188	0.9956612707821563	-1.926747431027726e-05	-0.10875018678845348	-0.26355484309474014	-0.0757489120481201	327
1487	Anchor Bank WA	Banking	5	2016-12-05 00:00:00	59	203	2018-07-17 00:00:00	65	232	1.8951202536156575	0.9772721871493437	-1.929786849922044e-05	-0.07849139833456811	-0.26992614110418317	-0.07575505336532475	327
1488	Stock Yards Bank & Trust	Banking	5	2016-04-30 00:00:00	377	909	2018-07-17 00:00:00	488	1646	27.063773048942345	0.9929099579028778	-2.8452994505006546e-05	-0.11570464880722477	-0.25121374404134067	-0.07760489818122379	327
1489	Provident Bank	Banking	5	2018-06-21 00:00:00	689	3698	2018-07-17 00:00:00	1253	4302	197.06959706939168	0.4678636531690506	-0.03735369698693723	-0.33133394339373695	-0.12481776615820712	-7.619380845113053	327
1503	Renasant Bank	Banking	5	2016-11-23 00:00:00	916	3077	2018-07-17 00:00:00	1211	4119	47.861688267540316	0.9717108296046092	3.4011293894477605e-05	0.3474007759335621	-0.23575090418198977	-0.06498363660584179	327
1520	Bradesco	Banking	5	2016-12-09 00:00:00	29948	140638	2018-07-17 00:00:00	39391	275174	6690.0506463486845	0.9905512083569703	2.93873429712109e-05	0.2665027733590641	4.702585611514275	-0.06591793195458638	327
1535	Pulaski Bank	Banking	5	2017-11-01 00:00:00	395	1651	2018-03-10 00:00:00	377	1654	2.0845749988744946	0.8620684399746749	-5.287020767931092e-05	-0.18650894748481253	-0.26978528523686474	-0.0825385337402147	327
1568	HDFC Bank	Banking	5	2016-12-16 00:00:00	53060	148104	2018-07-17 00:00:00	78099	237172	4573.200399654698	0.986002063507659	3.2518232701151536e-05	0.3970415802707724	3.1287491944109704	-0.0652853180361737	327
1575	First Midwest Bank	Banking	5	2016-04-30 00:00:00	1358	4985	2018-07-17 00:00:00	1655	7143	70.57453145600542	0.9901660484048888	7.028320439806474e-06	0.11843210530884486	-0.21886435313673264	-0.07043569849238697	327
1578	Wisconsin Bank & Trust	Banking	5	2016-12-02 00:00:00	117	480	2018-07-17 00:00:00	134	696	11.771875737163839	0.9940218610410977	-1.3013637212100833e-05	-0.052708683794188305	-0.262582968157911	-0.07448528901024741	327
1587	Silicon Valley Bank	Banking	5	2017-11-01 00:00:00	2407	21171	2018-02-17 00:00:00	2411	21331	4.34396172662785	0.24857570632800874	-0.00017281507753678672	-0.2427489731053597	-0.26810547575671295	-0.10677407081084682	327
1591	Century Bank	Banking	5	2016-11-19 00:00:00	338	771	2018-07-17 00:00:00	376	1011	11.590161124834943	0.988367671896685	-9.818458934746456e-06	-0.05730896839038207	-0.2627180693890206	-0.07383968522844236	327
1595	Old Sterling National Bank	Banking	5	2017-11-06 00:00:00	266	2350	2018-03-09 00:00:00	267	2353	0.07756460302494479	0.24068629358783872	3.412903418327721e-05	0.24362739495881078	-0.27127745789075275	-0.06495984651680088	327
1606	Morrill & Janes Bank and Trust	Banking	5	2016-12-02 00:00:00	76	445	2018-07-17 00:00:00	86	575	6.5357341555988215	0.9812288189119145	-1.7738929682157905e-06	-0.007958084613024	-0.2664759361744469	-0.07221423532857867	327
1608	American Savings Bank	Banking	5	2016-09-14 00:00:00	738	3877	2018-07-17 00:00:00	996	4773	41.75727304798962	0.9719108416836635	1.4527019245913152e-05	0.2267190557310435	-0.24028941652723146	-0.06892054412927957	327
1620	Vectra Bank Colorado	Banking	5	2016-08-26 00:00:00	432	1497	2018-07-17 00:00:00	476	2815	53.82046917555813	0.9653916325940576	3.8253727491251005e-05	0.18348535309026118	-0.23132066807566873	-0.06412642898348604	327
1628	Bryn Mawr Trust	Banking	5	2016-12-27 00:00:00	374	3843	2018-07-17 00:00:00	701	6222	121.89071057828765	0.9805997441175373	3.919679656000289e-05	0.266439205763653	-0.18071178584229272	-0.06393587656216898	327
1672	BankUnited	Banking	5	2016-09-15 00:00:00	1494	6418	2018-07-17 00:00:00	1710	8077	66.12810964391932	0.9752053551607184	1.7267066439230808e-05	0.3104513130418164	-0.22217018007682568	-0.0683669021485276	327
1677	Arizona Bank &amp; Trust	Banking	5	2016-11-21 00:00:00	101	667	2017-02-01 00:00:00	101	679	4.865370956287157	0.9662047247055062	0.00408933521237333	0.867129347432464	-0.26771781827591895	0.7544174205339906	327
1678	Community Trust Bank	Banking	5	2016-11-19 00:00:00	288	725	2018-07-17 00:00:00	329	844	5.429927602924464	0.9954942048186537	1.5313578894975428e-06	0.011119558994488956	-0.2672980815414082	-0.07154639076144516	327
1684	Home Bank	Banking	5	2017-01-26 00:00:00	203	823	2018-07-17 00:00:00	250	1058	14.20602990521787	0.995375947681151	-6.028793954343602e-06	-0.03455161761646707	-0.26077322253206414	-0.07307396205723075	327
1736	Banner Bank	Banking	5	2016-12-24 00:00:00	1302	3255	2018-07-17 00:00:00	2985	6042	153.33535531655778	0.9987804666781784	-2.101036181739149e-05	-0.14652570892277414	-0.15733331252361804	-0.07610107229339612	327
1738	Washington Federal	Banking	5	2017-03-31 00:00:00	1195	2926	2018-07-17 00:00:00	1313	3549	38.12221136008137	0.9965968636704131	1.0805784223434381e-05	0.09280932557141189	-0.24299201321388028	-0.06967244064176054	327
1751	Great Southern Bank	Banking	5	2017-01-22 00:00:00	597	1593	2018-07-17 00:00:00	682	1913	17.612395291002002	0.9988764776081556	-5.173743106724797e-06	-0.04375605835028642	-0.2582406570364747	-0.07290119421364258	327
1752	BBCN Bank	Banking	5	2016-11-18 00:00:00	264	2652	2018-07-17 00:00:00	154	2683	1.5295292603193336	0.7568097853793926	-5.388267943182622e-06	-0.11152363203654911	-0.2701979507987581	-0.07294454016610159	327
1759	Citizens Bank	Banking	5	2016-08-24 00:00:00	11830	35482	2018-07-17 00:00:00	15850	50088	602.6709834288715	0.995431670344819	5.872933614002463e-06	0.12967689190532752	0.17673886671040845	-0.07066915091332807	327
1768	BLADEX	Banking	5	2016-12-09 00:00:00	160	5368	2018-07-17 00:00:00	209	7665	93.50862324332255	0.960678375532444	1.2058935315332192e-05	0.054481046621171196	-0.20181330812094067	-0.06941923439976885	327
1788	Prosperity Bank	Banking	5	2017-07-06 00:00:00	240	112	2018-07-17 00:00:00	518	658	35.04609467903502	0.9816734159128482	-0.0007561461838652519	-0.12172256378058006	-0.2452790453095378	-0.2246394090172663	327
1794	Pacific Premier Bank	Banking	5	2017-02-22 00:00:00	264	2116	2018-07-17 00:00:00	712	4762	151.3391126132551	0.9751597608611037	5.4619557430998496e-05	0.18877151012689244	-0.15881747961042125	-0.06081962079179172	327
1797	Banc of California	Banking	5	2016-11-18 00:00:00	1043	4261	2018-07-17 00:00:00	992	6070	87.54074084636903	0.9815993690735378	1.3330068347549293e-07	0.0010693661021841142	-0.20625031100481686	-0.07182887610061534	327
1824	Rocky Mountain Bank	Banking	5	2016-11-21 00:00:00	130	383	2018-07-17 00:00:00	132	463	4.2010244257781615	0.9847154960223323	7.69397040312737e-06	0.03702807921390797	-0.2682117468213719	-0.07030120016510295	327
1844	Commerce Bank	Banking	5	2016-09-06 00:00:00	2813	15121	2018-07-17 00:00:00	4085	19115	169.92731814012666	0.9927738045169792	1.8642167915785196e-06	0.03783607163379639	-0.14499751533449748	-0.07147913474399098	327
1858	Southside Bank	Banking	5	2017-04-10 00:00:00	446	958	2018-07-17 00:00:00	499	1354	29.528490464347204	0.988231168005193	1.3555719374502695e-05	0.05219295542134119	-0.24938127524375278	-0.06911680074340772	327
1884	Brookline Bank	Banking	5	2016-11-19 00:00:00	282	2553	2018-07-17 00:00:00	344	3144	29.464343243718513	0.9563621500327547	2.73651540320287e-05	0.26832352448336777	-0.24942896743739712	-0.06632652662860293	327
1899	Busey	Banking	5	2016-12-27 00:00:00	549	2266	2018-07-17 00:00:00	789	3594	72.74177892212509	0.9901004293984421	-2.7590607786272484e-05	-0.14132055370710608	-0.21725304738074874	-0.07743064808352529	327
1908	Old National Bank	Banking	5	2016-11-23 00:00:00	1977	4703	2018-07-17 00:00:00	2308	6227	73.655078386681	0.9893590430396997	1.744038455880421e-05	0.19325768296131057	-0.2165740272378341	-0.06833188224549278	327
1954	Belmont Savings Bank	Banking	5	2016-12-24 00:00:00	115	927	2018-07-17 00:00:00	126	1020	4.988272246888657	0.9923889087959633	2.403819389723386e-06	0.021644121465856227	-0.2676264435897976	-0.07137010499735581	327
1961	BancFirst	Banking	5	2016-12-09 00:00:00	709	1904	2018-07-17 00:00:00	1176	2598	36.708212497969555	0.9988214540105207	4.518977067811745e-06	0.04324589625827311	-0.2440432934857889	-0.0709427254655888	327
1999	Summit Community Bank – Service Beyond Expectations	Banking	5	2017-04-07 00:00:00	41	127	2018-07-17 00:00:00	71	177	2.516319325326831	0.9693014877709598	-8.531352419772353e-05	-0.14380363795877874	-0.2694642918435391	-0.08909388872213712	327
2002	IBERIABANK	Banking	5	2016-09-16 00:00:00	1845	6541	2018-07-17 00:00:00	3293	9515	136.4381077883746	0.9946701354366444	1.0095032783777165e-05	0.14167848594964427	-0.16989608287083374	-0.06981605197657031	327
2021	Bank of Marin	Banking	5	2016-11-18 00:00:00	237	2258	2018-07-17 00:00:00	273	2455	10.383965473142313	0.997720295219044	-1.5175883567761388e-06	-0.02558493670768364	-0.2636148520715699	-0.07216244753707661	327
2029	AmeriServ Financial Bank	Banking	5	2016-12-05 00:00:00	178	349	2018-07-17 00:00:00	191	433	4.936696960324796	0.9885880290292643	-2.9373566229225354e-06	-0.013449140054970162	-0.2676647887983656	-0.07244931971832774	327
2035	Nicolet National Bank	Banking	5	2016-12-24 00:00:00	255	3300	2018-07-17 00:00:00	341	3698	21.936485648929683	0.9939994283358662	1.6195851526793823e-06	0.025702559037408295	-0.25502578112034396	-0.07152856394559197	327
2044	Village Bank & Village Bank Mortgage Corporation	Banking	5	2017-03-31 00:00:00	181	535	2017-07-19 00:00:00	187	552	3.811337311337248	0.9633683442667952	-4.528898724132327e-05	-0.06059215110194943	-0.26850147150687614	-0.08100670541622047	327
